GeneID,GeneName
646457,CS067
7597,ZBT25
10312,VPP3
7444,VRK2
57718,PP4R4
114791,GCP5
29102,RNC
160140,MFI
285381,DPH3
1962,ECHP
83850,ESYT3
58155,PTBP2
146852,ODFP4
114904,C1QT6
400793,CA226
83901,KRA98
55915,LANC2
643834,PEPA3
2661,GDF9
2104,ERR3
8844,KSR1
139285,AMER1
23209,MLC1
55152,DALD3
29117,BRD7
339403,RL3R2
25806,VAX2
139378,AGRG4
58499,ZN462
6443,SGCB
140609,NEK7
389015,SL9A4
54827,NXPE4
5744,PTHR
26212,OR2B6
5586,PKN2
386676,KR109
85002,F86B1
58506,SFR19
219287,AMER2
2562,GBRB3
10723,S12A7
3268,AGFG2
54205,CYC
116969,NAR5
649,BMP1
346606,MOGT3
338917,VSX2
27086,FOXP1
114932,MR1L1
1825,DSC3
92689,NXP20
55791,LRIF1
7123,TETN
8091,HMGA2
135154,SDHF4
7288,TULP2
84168,ANTR1
51105,P20L1
23332,CLAP1
79962,DJC22
81797,O12D3
6477,SIAH1
1789,DNM3B
54764,ZRAN1
100129792,CC152
3576,IL8
55821,ALLC
10350,ABCA9
5225,PEPC
10575,TCPD
3201,HXA4
149041,RC3H1
63827,PGCB
4782,NFIC
10902,BRD8
1174,AP1S1
92335,STRAA
84826,SFT2C
79009,DDX50
79643,CHMP6
81889,FAHD1
10401,PIAS3
80168,MOGT2
23392,ECM29
23272,TASOR
5999,RGS4
55657,ZN692
343173,OR2T3
27152,INTU
4897,NRCAM
84070,F186B
10767,HBS1L
284992,CC150
5520,2ABA
56110,PCDG5
6167,RL37
51373,RT17
25906,APC15
64399,HHIP
147808,ZN784
51442,VGLL1
5068,REG3A
54578,UD16
528,VATC1
54879,ST7L
128710,SLX4I
81792,ATS12
343069,HNRC1
152002,XXLT1
79783,SUCHY
9793,CKAP5
8659,AL4A1
79651,RHDF2
54768,HYDIN
26762,HAVR1
27077,B9D1
94104,PAXB1
51480,VCX2
51397,COMDA
3601,I15RA
7580,ZNF32
54892,CNDG2
9826,ARHGB
55270,NUD15
1033,CDKN3
4983,OPHN1
221823,PRPS3
3227,HXC11
84084,RAB6C
84727,SPSB2
1741,DLG3
84679,SL9A7
7366,UDB15
6299,SALL1
388591,RN207
65268,WNK2
627,BDNF
120892,LRRK2
26292,MYCBP
10150,MBNL2
256435,SIA7C
23127,GT252
4922,NEUT
83667,SESN2
10124,ARL4A
9681,DEPD5
55633,TB22B
126006,PCP2
84271,PDIP3
404552,SG1D4
3223,HXC6
11101,ATE1
282617,IFNL3
140680,CT096
553128,KI2LB
9567,GTPB1
55634,KRBX4
1407,CRY1
8848,T22D1
54874,FBP1L
9266,CYH2
23350,SR140
126069,ZN491
84077,CC020
360205,PRAC2
93474,ZN670
55614,KI16B
246721,RPB1B
6338,SCNNB
282974,ST32C
23409,SIR4
55055,ZWILC
3772,KCJ15
135293,P20D2
9601,PDIA4
